Id,PostHistoryTypeId,PostId,RevisionGUID,CreationDate,UserId,UserDisplayName,Comment,CloseReasonTypes,Text,is_functional_issue_1,is_functional_issue_2,arbitration
20766339,1,9160499,918d016f-3ee9-4cef-888e-f3cd4d6a9efa,2012-02-06T13:02:26.140,653478,,,,vim: go to back directory browsing,1,1,1
47044753,4,9160499,00fcb98b-56ea-433f-a6c5-ad27650dc53e,2013-09-11T09:02:11.593,435093,,added 34 characters in body; edited title,,Go to back directory browsing after opening file in vim,1,1,1
104894071,1,33903697,7b668be2-f213-4ad6-a68a-ef3debf966be,2015-11-24T21:00:25.940,5601022,,,,axis of symmetry in cyclic graph,0,0,0
104925659,4,33903697,ee82f665-1e1c-44aa-978b-c48107321866,2015-11-25T08:28:45.857,2707359,,deleted 7 characters in body; edited tags; edited title,,Axis of symmetry in cyclic graph,0,0,0
164204743,1,48146332,f4f4757c-65fb-47b8-a7e7-866b858e4b23,2018-01-08T08:05:57.430,2533782,,,,Updating angular5 wpa,0,0,0
164208829,4,48146332,112b9dc4-c502-4dba-a862-9f060b9b708a,2018-01-08T09:24:03.297,2533782,,edited title,,Angular5 wpa doesn't refresh,0,0,0
164594746,4,48146332,3c4707fe-d06b-4695-8ff1-430bf957e611,2018-01-13T11:10:46.750,2533782,,Understanding the way progressive web apps by Angular5 update.,,Angular5 wpa doesn't refresh (Service Workers),0,0,0
175725002,4,48146332,dc7267f3-23d2-43b8-953c-289f21e08e79,2018-06-16T18:56:37.570,2533782,,edited title,,Angular5 PWA doesn't refresh (Service Workers),0,0,0
26937305,1,11561565,681f9f17-8305-4d02-ada0-148fbdafe29a,2012-07-19T13:09:03.013,1243505,,,,MAPI. How to connect to a specific Outlook/Exchange account? Not the users own account,1,1,1
26945437,4,11561565,e5c43b73-5938-4a30-80b0-824aa18cf750,2012-07-19T15:52:07.927,190829,,fixed title,,How to connect to a specific Outlook/Exchange account?,1,1,1
81236662,1,27855469,e2689d09-7e36-4ea6-818e-4be3396590dd,2015-01-09T07:03:50.227,3290807,,,,for xml in sql server causing issue with spaces and :,1,0,0
81236854,4,27855469,ecee3e42-6ba4-40e0-b871-9ca7521b744c,2015-01-09T07:07:20.847,13302,,edited tags,,FOR XML in SQL Server causing issue with spaces and :,1,0,0
159012031,1,46907267,34ea86a2-329e-49e4-a12e-f98cc0c138e1,2017-10-24T09:47:37.313,1794714,,,,R Shiny valuebox cursor change,0,0,0
159013839,4,46907267,c324c2fe-9e63-4073-b0c7-70b71ed4cace,2017-10-24T10:07:21.303,1968,,remove tag from title,,Valuebox cursor change,0,0,0
161641499,1,47540536,2db2b0f8-1cdc-43f3-9781-13ae6e7db167,2017-11-28T20:38:14.447,5169717,,,,How to spawn a shell in Golang,1,1,1
161642077,4,47540536,61b22159-707e-453c-bca2-ad37130368f5,2017-11-28T20:48:49.183,32880,,deleted 6 characters in body; edited title,,How to spawn a shell in Go,1,1,1
161644440,4,47540536,5f76e8d0-36cb-49dd-8883-817774b6f7ff,2017-11-28T21:34:51.573,14122,,Make title reflect (previously undisclosed) essential elements of question.,,"Using Go to spawn an unrestricted shell from restricted shell started by ""nc -e /bin/bash""",1,0,0
161644824,4,47540536,08e42d7f-b461-46c4-ad62-96c911a5c11a,2017-11-28T21:41:45.480,14122,,edited title,,"Using Go to spawn a shell with a TTY from ""nc -e /bin/bash""",1,0,0
