Id,PostHistoryTypeId,PostId,RevisionGUID,CreationDate,UserId,UserDisplayName,Comment,CloseReasonTypes,Text,Edit Action,Edit Object,Edit Constraint,Others
20766339,1,9160499,918d016f-3ee9-4cef-888e-f3cd4d6a9efa,2012-02-06T13:02:26.140,653478,,,,vim: go to back directory browsing,0,0,0,0
47044753,4,9160499,00fcb98b-56ea-433f-a6c5-ad27650dc53e,2013-09-11T09:02:11.593,435093,,added 34 characters in body; edited title,,Go to back directory browsing after opening file in vim,0,0,1,1
26937305,1,11561565,681f9f17-8305-4d02-ada0-148fbdafe29a,2012-07-19T13:09:03.013,1243505,,,,MAPI. How to connect to a specific Outlook/Exchange account? Not the users own account,0,0,0,0
26945437,4,11561565,e5c43b73-5938-4a30-80b0-824aa18cf750,2012-07-19T15:52:07.927,190829,,fixed title,,How to connect to a specific Outlook/Exchange account?,0,0,1,1
161641499,1,47540536,2db2b0f8-1cdc-43f3-9781-13ae6e7db167,2017-11-28T20:38:14.447,5169717,,,,How to spawn a shell in Golang,0,0,0,0
161642077,4,47540536,61b22159-707e-453c-bca2-ad37130368f5,2017-11-28T20:48:49.183,32880,,deleted 6 characters in body; edited title,,How to spawn a shell in Go,0,0,1,0
46457929,1,18572943,c07a9415-0e16-421a-ab98-74bb15225bff,2013-09-02T12:09:49.307,1441771,,,,Configuring gralyog2 for grails,0,0,0,0
125794057,4,18572943,84fa6127-a6b9-4825-8e07-16dc62e23c79,2016-08-26T16:21:06.197,487033,,deleted 19 characters in body; edited title,,Configuring graylog2 for grails,0,1,0,0
111300092,1,35517021,9671d718-525f-4bf5-aadf-24baa0ae895a,2016-02-19T23:32:26.810,5361412,,,,PHP Mysql - How to insert default value in a prepared statement,0,0,0,0
111304437,4,35517021,836b102a-4704-4c23-bdbb-563a4efc1ec1,2016-02-20T01:42:37.863,5513684,,"spelling, grammar fixes, tags",,PHP MySQL - How to insert default value in a prepared statement,0,0,1,0
24958130,1,10805892,f92b3d9e-3f7e-47ba-b9ad-2ab9bec66362,2012-05-29T20:04:03.563,1410476,,,,"How to change a php paert of a web page without reloading a whole page correctly, I've got an error too",0,0,0,0
24975871,4,10805892,f209a843-d398-4134-a35d-6b5058d17475,2012-05-30T08:38:21.690,569101,,deleted 57 characters in body; edited title,,How to change part of a web page without reloading a whole page correctly?,0,1,0,1
13989879,1,6428823,4afcc271-7bde-44e6-86ae-0be5e46d63cf,2011-06-21T16:33:35.567,201255,,,,Backbone.js fetch a collection using post?,0,0,0,0
133629201,4,6428823,51709ad3-6362-4581-8283-ef7102cdeaab,2016-12-12T02:39:26.847,1218980,,Fixed title and question format,,Fetch a collection using a POST request?,0,0,1,0
145180191,1,43924064,c74f93ee-5ec3-4d69-86f0-1e3927672190,2017-05-11T19:29:12.787,7840718,,,,How to Translate MvcPaging?,0,0,0,0
145245146,4,43924064,5f581611-bfcf-4ccd-923e-524fbfd8c336,2017-05-12T15:15:10.977,7840718,,edited title,,How to Translate Mvc4.Paging?,0,1,0,0
37669774,1,15486093,d22f723b-a947-464a-b2b5-ef6adbda6329,2013-03-18T20:17:50.140,1106247,,,,C# FontStyles other than standard,0,0,0,0
37684452,4,15486093,accfcdef-2541-4ade-a8db-eae47831dc76,2013-03-19T04:18:23.320,41956,,added 1 characters in body; edited title,,FontStyles other than standard,0,0,1,0
91847369,1,30588644,982e30d5-64ea-40f9-ae47-10d5d53c6898,2015-06-02T06:12:28.103,1044213,,,,how to make the things hidden in wpf,0,0,0,0
91853022,4,30588644,d62e1322-b42f-46a3-a442-88458db6d906,2015-06-02T07:35:49.653,3863759,,Changed titel to something more informative about the question,,how to hide items behind a panel in wpf,1,1,1,0
134442233,1,41289966,bfb9f173-2092-436c-9116-4c3a8b41449d,2016-12-22T18:56:19.153,7331692,,,,XML- XElement multiple root elements,0,0,0,0
134448785,4,41289966,3922afe5-a675-4d54-9976-26da29f0039b,2016-12-22T20:56:10.730,107625,,Removed tags from title.,,XElement multiple root elements,0,0,1,0
82413081,1,28158685,feb6b6db-db99-4f11-a8f9-dbfd1eeb68ac,2015-01-26T21:00:41.470,147390,,,,Truncate middle of text and replace with ellipsis in one command,0,0,0,0
82413746,4,28158685,da050115-dba5-40df-8105-ef2470d8b33b,2015-01-26T21:12:19.700,147390,,edited title,,Truncate middle of STDOUT text and replace with ellipsis in one command,0,1,0,0
82414404,4,28158685,627d0181-0e27-4eb0-924a-b379883be42e,2015-01-26T21:24:59.230,1566221,,"Removed all references to a file, to make it clear that input is provided through a pipe",,Truncate middle of piped text and replace with ellipsis in one command,0,1,0,0
63268138,1,23175690,cf3b61ef-53cc-4177-9c62-123a93857e2c,2014-04-19T21:18:59.740,3477610,,,,(PRIORITY) How do i use setListAdapter for a specific ListView in FragmentActivity,0,0,0,0
63268223,4,23175690,6fdd5048-9b77-4b2d-adf0-554f3fff057c,2014-04-19T21:21:53.417,416549,,Not a priority,,How do i use setListAdapter for a specific ListView in FragmentActivity,0,0,0,1
63311992,4,23175690,eb6c2bb0-ddc2-4f88-96d7-6c22a681212c,2014-04-20T21:28:58.507,3477610,,"Of course it's priority, i need it for my final exams!",,(Priority) How do i use setListAdapter for a specific ListView in FragmentActivity,0,0,0,1
147976002,1,44202499,00975412-c7bf-44a8-a656-bf84dd8ad080,2017-05-26T13:10:09.930,8070525,,,,Hot to get the right KEY and IV in Rinjdael encryption equivalent in JAVA,0,0,0,0
147977210,4,44202499,22dc9133-76ad-484f-8a22-71fe9da24de5,2017-05-26T13:24:48.850,1816580,,deleted 426 characters in body; edited tags; edited title,,How to get the right KEY and IV in Rinjdael encryption equivalent in JAVA,0,0,0,1
104243782,1,33740695,fa8d72dd-dc2b-4ce4-a160-5eea2776f603,2015-11-16T17:01:15.027,3501083,,,,symfony2 doctrine - adding children to self related entity,0,0,0,0
104443956,4,33740695,d069d983-d612-4065-b2ff-43a0c640f2a8,2015-11-18T22:49:06.240,2186169,,Fixed grammar and spelling,,symfony2 doctrine - Adding children to self-related Entity,1,0,1,0
126607655,1,39372956,c5a6b9b0-1c16-43b9-bda1-3c93e605033e,2016-09-07T14:43:11.140,1081588,,,,Duplicate the leaflet div with a heatmap,0,0,0,0
126650208,4,39372956,036a1002-8dcf-4a5a-93c4-238e714ba4a4,2016-09-08T06:19:35.340,1081588,,added 62 characters in body; edited title,,Duplicate a leaflet div (a div that contains also a heatmap),0,0,1,0
91120648,1,30405733,248cca03-f605-499e-8622-305372f4e37b,2015-05-22T20:55:42.113,4609282,,,,SQL: Query to merge (some) rows,0,0,0,0
142205871,4,30405733,cbe6483b-e54f-495d-a13f-b8cae0f19790,2017-04-03T14:33:16.393,1905949,,deleted 61 characters in body; edited tags; edited title,,Query to merge (some) rows,0,0,1,0
45602185,1,18318637,b57944a2-0480-4d18-916e-adb154d76bbc,2013-08-19T16:27:32.497,2402599,,,,"Getting <p> tag parent class name, Nokogiri",0,0,0,0
45626491,4,18318637,7ee3b64b-7afc-4119-b073-14b8482ffcc3,2013-08-20T05:24:00.570,128421,,deleted 72 characters in body; edited title,,How do I get the <p> tag parent class name using Nokogiri?,0,0,0,1
145458883,1,43991922,2c703a54-510e-4823-9e4a-3acde44d9321,2017-05-16T03:17:49.703,3369042,,,,ovveride login Authentication in laravel,0,0,0,0
158496837,4,43991922,86c3b7c5-9ac0-4f76-9ae5-deb7d6b67aae,2017-10-17T06:00:03.370,5608921,,edited title,,Overide login Authentication in laravel,1,0,0,0
174091081,4,43991922,99d4f7cb-57c6-493b-9e6d-d022682e293e,2018-05-24T07:11:18.013,7756492,,corrected spelling...,,Override login Authentication in laravel,1,0,0,0
95384294,1,31490230,c283aa80-6347-4f97-8d05-9cc56cdf12b4,2015-07-18T10:30:26.107,2474913,,,,How to read the JSon response in Unity using c#,0,0,0,0
95385020,4,31490230,b4405dfd-4440-4054-9389-345c2a74ec9b,2015-07-18T10:54:43.997,996081,,"Phrasing, code formatting",,How to read a JSON response in Unity,0,1,1,0
95385023,4,31490230,dc6e6107-7093-4e53-a45e-354e336962e1,2015-07-18T10:54:43.997,2692339,,"Phrasing, code formatting",,How to read a JSON response in Unity?,0,0,0,1
111519079,1,35570300,6ba386ca-e7de-49f1-a01c-347b559cb9ef,2016-02-23T06:23:28.740,5952254,,,,Is it possible to clean blob in chrome?,0,0,0,0
111520998,4,35570300,79eb5801-fd24-4a7b-9bdf-95a30e387f91,2016-02-23T06:58:30.543,5952254,,edited title,,Is it possible to clean blob in chrome before the usage of storage over the limitation(500MB)?,0,0,1,0
32659100,1,13683213,485df731-091f-4573-abbd-92530da6fbbd,2012-12-03T12:24:57.030,1872212,,,,DHTMLX Recurring Events format for every Sunday,0,0,0,0
32704353,4,13683213,249798f5-037e-4cc4-a790-734c668801e1,2012-12-04T09:29:11.747,1872212,,added extra code,,DHTMLX Recurring Events in MVC3,0,1,1,0
59015951,1,22042539,e9ba99d8-e1dc-4eb3-9a00-01fd6fd299ad,2014-02-26T13:14:08.697,1714329,,,,php how to format a string to proper url,0,0,0,0
59017386,4,22042539,798bc4b0-7f00-4cf4-9c7b-29afe81e0ca1,2014-02-26T13:32:07.577,2294775,,edited title,,How to generate URL slugs (SEO URLs) from raw input,1,1,1,0
15580470,1,7096173,cf1ef85e-3ff1-462b-a65f-ad3e84f78cac,2011-08-17T16:19:38.823,865961,,,,How do I create a pre-populated database for iOS,0,0,0,0
15655334,4,7096173,0679da30-f639-4fb6-946e-0e707eaa1799,2011-08-19T20:58:59.600,865961,,clarified title and description,,How do I create second target in my project to create a pre-populated database for iOS,0,1,1,0
11446885,1,5353905,96074928-a86a-4771-b8bb-df3d1d388591,2011-03-18T15:09:07.170,592344,,,,converting array into other array type,0,0,0,0
11447189,4,5353905,e217b893-bc31-44a2-bda8-69fc352fce9b,2011-03-18T15:18:29.893,161052,,Tag and Title,,How do I store all results from an SQL query in a multidimensional array?,1,1,1,1
155606103,1,46085766,86bd3367-2c51-458d-af12-3a34bad002ac,2017-09-06T23:39:04.000,8571585,,,,loop over json data object and display all except one value,0,0,0,0
